Text,URL
['[SALAH] PPKM diperpanjang Bansos dihentikan'],https://turnbackhoax.id/2021/09/26/salah-ppkm-diperpanjang-bansos-dihentikan/
['[SALAH] “PPKM DILANJUTKAN SAMPAI HARI KIAMAT”'],https://turnbackhoax.id/2021/08/19/salah-ppkm-dilanjutkan-sampai-hari-kiamat/
['[SALAH] Bantuan PPKM Rp1 Juta Bagi Pemilik Sertifikat Vaksinasi'],https://turnbackhoax.id/2021/07/30/salah-bantuan-ppkm-rp1-juta-bagi-pemilik-sertifikat-vaksinasi/
['[SALAH] “KITA BUKAN BODOH TAPI DIBODOHKAN KITA TIDAK MISKIN TAPI DIMISKIN OLEH SEBUAH SISTEM #PPKMLevel4Diperpanjang”'],https://turnbackhoax.id/2021/07/29/salah-kita-bukan-bodoh-tapi-dibodohkan-kita-tidak-miskin-tapi-dimiskin-oleh-sebuah-sistem-ppkmlevel4diperpanjang/
['[SALAH] Mata Pengemudi ditusuk hingga Buta oleh Petugas di Pos PPKM Padang'],https://turnbackhoax.id/2021/07/22/salah-mata-pengemudi-ditusuk-hingga-buta-oleh-petugas-di-pos-ppkm-padang/
['[SALAH] Link untuk pengecekan penerima bantuan PPKM Rp300.000'],https://turnbackhoax.id/2021/07/09/salah-link-untuk-pengecekan-penerima-bantuan-ppkm-rp300-000/
['[SALAH] Foto “PERBANYAK PERGI KE MESJID” PPKM Darurat Pemkab Sukabumi'],https://turnbackhoax.id/2021/07/04/salah-foto-perbanyak-pergi-ke-mesjid-ppkm-darurat-pemkab-sukabumi/
['[SALAH] Ketua MUI Memperbolehkan Merapatkan Shaf Shalat'],https://turnbackhoax.id/2021/10/03/salah-ketua-mui-memperbolehkan-merapatkan-shaf-shalat/
['[SALAH] Link Cek Bantuan per 10 September 2021 sebesar Rp600.000 bagi Pengguna E-KTP'],https://turnbackhoax.id/2021/09/08/salah-link-cek-bantuan-per-10-september-2021-sebesar-rp600-000-bagi-pengguna-e-ktp/
"['[SALAH] Munarman Kritis Total, nasibnya memilukan']",https://turnbackhoax.id/2021/08/31/salah-munarman-kritis-total-nasibnya-memilukan-2/
['[SALAH] Bendera Merah Putih Dilarang Berkibar di PIK'],https://turnbackhoax.id/2021/08/25/salah-bendera-merah-putih-dilarang-berkibar-di-pik/
['[SALAH] Sertifikat Vaksin Covid-19 Bukan Syarat Administrasi'],https://turnbackhoax.id/2021/08/20/salah-sertifikat-vaksin-covid-19-bukan-syarat-administrasi/
"['[SALAH] Munarman Kritis Total, nasibnya memilukan']",https://turnbackhoax.id/2021/08/19/salah-munarman-kritis-total-nasibnya-memilukan/
['[SALAH] Grab Berikan Bantuan Sembako Senilai Rp80 Ribu untuk Warga Surabaya'],https://turnbackhoax.id/2021/08/17/salah-grab-berikan-bantuan-sembako-senilai-rp80-ribu-untuk-warga-surabaya/
['[SALAH] Bantuan Rp500 Ribu dari Kementerian Sosial RI'],https://turnbackhoax.id/2021/08/11/salah-bantuan-rp500-ribu-dari-kementerian-sosial-ri/
['[SALAH] Seluruh Objek Wisata di Kabupaten Pangandaran Telah Dibuka Kembali'],https://turnbackhoax.id/2021/08/09/salah-seluruh-objek-wisata-di-kabupaten-pangandaran-telah-dibuka-kembali/
['[SALAH] Tautan Pendaftaran Bantuan Sosial Sebesar Rp500.000 dari Kementerian Sosial'],https://turnbackhoax.id/2021/08/07/salah-tautan-pendaftaran-bantuan-sosial-sebesar-rp500-000-dari-kementerian-sosial/
['[SALAH] Link Pengecekan Penerima Bansos dengan NIK E-KTP'],https://turnbackhoax.id/2021/08/05/salah-link-pengecekan-penerima-bansos-dengan-nik-e-ktp/
"['[SALAH] Shopee, Grab dan Gojek Dukung Aksi Nasional Jokowi End Game']",https://turnbackhoax.id/2021/07/31/salah-shopee-grab-dan-gojek-dukung-aksi-nasional-jokowi-end-game/
['[SALAH] Video Kericuhan Terminal kota Lampung'],https://turnbackhoax.id/2021/07/29/salah-video-kericuhan-terminal-kota-lampung/
['[SALAH] Driver Grab Meminta Jokowi untuk Turun'],https://turnbackhoax.id/2021/07/28/salah-driver-grab-meminta-jokowi-untuk-turun/
['[SALAH] Video “Imam yg menyuruh rapatkan shaf sholat kenapa ditangkap”'],https://turnbackhoax.id/2021/07/26/salah-video-imam-yg-menyuruh-rapatkan-shaf-sholat-kenapa-ditangkap/
['[SALAH] Video “PESTA MIRAS TKA CINA DI MASA PANDEMI”'],https://turnbackhoax.id/2021/07/25/salah-video-pesta-miras-tka-cina-di-masa-pandemi/
['[SALAH] Video Pasar Jagasatru Cirebon Ricuh'],https://turnbackhoax.id/2021/07/23/salah-video-pasar-jagasatru-cirebon-ricuh/
['[SALAH] “Pemerintah Resmi Izinkan Sholat Idul Adha 1442H Berjamaah”'],https://turnbackhoax.id/2021/07/22/salah-pemerintah-resmi-izinkan-sholat-idul-adha-1442h-berjamaah/
"['[SALAH] “Ma’ruf Amin Mundur, Jokowi: Prabowo Gantikan Posisi!”']",https://turnbackhoax.id/2021/07/22/salah-maruf-amin-mundur-jokowi-prabowo-gantikan-posisi/
['[SALAH] Video Rombongan WNA di Bandara Soekarno-Hatta'],https://turnbackhoax.id/2021/07/16/salah-video-rombongan-wna-di-bandara-soekarno-hatta/
['[SALAH] Video “Mereka menguburkan Peti Mati yg kosong untuk menakut2i rakyat”'],https://turnbackhoax.id/2021/07/15/salah-video-mereka-menguburkan-peti-mati-yg-kosong-untuk-menakut2i-rakyat/
"['[SALAH] Video “Tambal Ban sekarang harus Online, dilarang Konvensional”']",https://turnbackhoax.id/2021/07/14/salah-video-tambal-ban-sekarang-harus-online-dilarang-konvensional/
"['[SALAH] Video “Mesjid ditutup sementara, KATEDRAL BUKA UNTUK IBADAH MINGGU. rezim kurang ajar”']",https://turnbackhoax.id/2021/07/13/salah-video-mesjid-ditutup-sementara-katedral-buka-untuk-ibadah-minggu-rezim-kurang-ajar/
['[SALAH] SPBU Tutup Sementara dari 12 sampai 17 Juli 2021'],https://turnbackhoax.id/2021/07/11/salah-spbu-tutup-sementara-dari-12-sampai-17-juli-2021/
['[SALAH] “Gubernur Sumut Instruksikan Seluruh Masjid Buka Pintu Untuk Orang Ibadah”'],https://turnbackhoax.id/2021/07/09/salah-gubernur-sumut-instruksikan-seluruh-masjid-buka-pintu-untuk-orang-ibadah/
['[SALAH] Pasar Kadangan Ricuh'],https://turnbackhoax.id/2021/07/09/salah-pasar-kadangan-ricuh/
"['[SALAH] Gambar Artikel Kompas.com Berjudul “SOLO BATASI KEGIATAN SAMPE JAM 8 MALAM KECUALI SEMANGGI , TERSERAH!!”']",https://turnbackhoax.id/2021/07/04/salah-gambar-artikel-kompas-com-berjudul-solo-batasi-kegiatan-sampe-jam-8-malam-kecuali-semanggi-terserah/
['[SALAH] Video Apel Persiapan Lockdown DKI'],https://turnbackhoax.id/2021/06/22/salah-video-apel-persiapan-lockdown-dki/
['[SALAH] Foto Jendral Uni Soviet'],https://turnbackhoax.id/2021/04/11/salah-foto-jendral-uni-soviet/
['[SALAH] Menteri Agama Tandatangani Surat Larangan Sholat Jumat'],https://turnbackhoax.id/2021/02/23/salah-menteri-agama-tandatangani-surat-larangan-sholat-jumat/
['[SALAH] Jakarta tanggal 12-15 Februari Lockdown'],https://turnbackhoax.id/2021/02/07/salah-jakarta-tanggal-12-15-februari-lockdown/
['[SALAH] “PSBB jawa & Bali di perpanjang sampai 28 Maret 2021”'],https://turnbackhoax.id/2021/02/06/salah-psbb-jawa-bali-di-perpanjang-sampai-28-maret-2021/
['[SALAH] Jawa-Bali Lockdown pada Tanggal 11-25 Januari 2021'],https://turnbackhoax.id/2021/01/09/salah-jawa-bali-lockdown-pada-tanggal-11-25-januari-2021/
['Kompilasi Post Periksa Fakta MAFINDO Berkaitan Dengan Virus Corona'],https://turnbackhoax.id/2020/02/06/kompilasi-post-periksa-fakta-mafindo-berkaitan-dengan-virus-corona/
['[SALAH] “Arief Budiman : Saya Siap Di Kutuk Menjadi Batu Jika KPU Curang”'],https://turnbackhoax.id/2020/01/13/salah-arief-budiman-saya-siap-di-kutuk-menjadi-batu-jika-kpu-curang/
